window,n,method,sensor,RMSE_m,MAE_m,bias_m
March_1,66,Point + linear,CS2,0.08491206396694044,0.06940519554777684,0.028602104148796628
March_1,66,Point + linear,IS2,0.1448109024394578,0.10976935768136144,0.038530460500387616
March_1,66,Nested multi-output GP,CS2,0.10310669720179556,0.07108628204094909,-0.028923199910101238
March_1,66,Nested multi-output GP,IS2,0.13517222251263541,0.11032971827687947,0.0018824232919596496
March_8,74,Point + linear,CS2,0.06275584678971376,0.049750312838660896,-0.01554461140435828
March_8,74,Point + linear,IS2,0.11667964355043844,0.08590066464203752,-0.018332953090766078
March_8,74,Nested multi-output GP,CS2,0.08051248956483857,0.06425020377716385,-0.04834673914035456
March_8,74,Nested multi-output GP,IS2,0.10143676435675639,0.07752342533948832,-0.01768778450992749
March_15,54,Point + linear,CS2,0.07493296430298141,0.05695807171890666,0.010709609873714507
March_15,54,Point + linear,IS2,0.13510897013563195,0.10134929074593935,0.029350083482958717
March_15,54,Nested multi-output GP,CS2,0.08343294448419927,0.05759466944321443,-0.02594557154549237
March_15,54,Nested multi-output GP,IS2,0.10730702377439878,0.08478756418276535,0.001874209540242828
March_22,50,Point + linear,CS2,0.08204024449561259,0.06195716014114744,0.019298119395518638
March_22,50,Point + linear,IS2,0.11152473180186,0.08234687632259628,0.012423223375945387
March_22,50,Nested multi-output GP,CS2,0.1219117952922213,0.08624800831411383,-0.006794473161131493
March_22,50,Nested multi-output GP,IS2,0.17720572478274582,0.12300696911009103,-0.06449653181469697
March_29,64,Point + linear,CS2,0.05270625614119829,0.04177302862450859,0.004760914708747786
March_29,64,Point + linear,IS2,0.14649217304475276,0.0864130442325967,-0.03530089927598431
March_29,64,Nested multi-output GP,CS2,0.08088573441500016,0.06546536356364174,-0.05302715251909601
March_29,64,Nested multi-output GP,IS2,0.12566853136797387,0.08328838378897647,-0.043719350742649266
