window,method,sensor,RMSE_m
March_8,Point + linear,CS2,0.06275584678971376
March_8,Point + linear,IS2,0.11667964355043844
March_8,Nested linear GP,CS2,0.08051248956483857
March_8,Nested linear GP,IS2,0.10143676435675639
March_8,Positive GP,CS2,0.0638220717402268
March_8,Positive GP,IS2,0.10502505880747276
March_8,Hard-positive DRF,CS2,0.09046306040087661
March_8,Hard-positive DRF,IS2,0.12310735473572744
March_29,Point + linear,CS2,0.05270625614119829
March_29,Point + linear,IS2,0.14649217304475276
March_29,Nested linear GP,CS2,0.08088573441500016
March_29,Nested linear GP,IS2,0.12566853136797387
March_29,Positive GP,CS2,0.07031629092381896
March_29,Positive GP,IS2,0.12109375577690243
