scenario,factor,level,n_observations,sigma_cs,sigma_is,alpha_cs_true,alpha_is_true,replicate,seed,method,latent,RMSE_m,MAE_m,bias_m,negative_dense_predictions,final_training_loss
noise_low,noise,low,60,0.015,0.01,1.0,0.0,0,11,Point + linear,Hi,0.07578311490349122,0.06282460023540208,0.01658266969468209,0,
noise_low,noise,low,60,0.015,0.01,1.0,0.0,0,11,Point + linear,Hs,0.012083262443174548,0.009504062763668128,0.0011880626021552136,0,
noise_low,noise,low,60,0.015,0.01,1.0,0.0,0,11,Positive GP,Hi,0.0404072046695987,0.03240749569672101,0.015151972389518431,0,-296.60962718919546
noise_low,noise,low,60,0.015,0.01,1.0,0.0,0,11,Positive GP,Hs,0.011185404636365883,0.008473621298001673,0.0009351139821273388,0,-296.60962718919546
noise_low,noise,low,60,0.015,0.01,1.0,0.0,1,29,Point + linear,Hi,0.07256078052031079,0.05587278554717969,-0.009290941795713362,0,
noise_low,noise,low,60,0.015,0.01,1.0,0.0,1,29,Point + linear,Hs,0.013648489547978985,0.011201857784902977,0.001392860242044009,0,
noise_low,noise,low,60,0.015,0.01,1.0,0.0,1,29,Positive GP,Hi,0.052272910744412204,0.04236565005520641,0.0025943674635636785,0,-292.1013841753974
noise_low,noise,low,60,0.015,0.01,1.0,0.0,1,29,Positive GP,Hs,0.011476076633572578,0.009389687561228061,0.0003092143426176991,0,-292.1013841753974
noise_low,noise,low,60,0.015,0.01,1.0,0.0,2,47,Point + linear,Hi,0.06576446837543881,0.053527349432458876,0.004336857019178294,0,
noise_low,noise,low,60,0.015,0.01,1.0,0.0,2,47,Point + linear,Hs,0.009716506223571291,0.007823694486230173,0.0008879851167269259,0,
noise_low,noise,low,60,0.015,0.01,1.0,0.0,2,47,Positive GP,Hi,0.03240660104796585,0.02783067677995288,0.0031109409570955764,0,-289.79798932961353
noise_low,noise,low,60,0.015,0.01,1.0,0.0,2,47,Positive GP,Hs,0.006957950730695145,0.005409994823733932,0.00042327808816334405,0,-289.79798932961353
noise_low,noise,low,60,0.015,0.01,1.0,0.0,3,83,Point + linear,Hi,0.06207616552098484,0.05071264032863947,-0.0037788812754290355,0,
noise_low,noise,low,60,0.015,0.01,1.0,0.0,3,83,Point + linear,Hs,0.013136183343987383,0.010972716883861604,-0.0027714296118479817,0,
noise_low,noise,low,60,0.015,0.01,1.0,0.0,3,83,Positive GP,Hi,0.03390024473809885,0.028617377911533737,-0.0010283095733935501,0,-294.22042656774244
noise_low,noise,low,60,0.015,0.01,1.0,0.0,3,83,Positive GP,Hs,0.009628266053999197,0.008005826131972413,-0.0025961066310082434,0,-294.22042656774244
noise_nominal,noise,nominal,60,0.03,0.02,1.0,0.0,0,11,Point + linear,Hi,0.13388490383314952,0.10327086552843161,-0.02789579038517696,0,
noise_nominal,noise,nominal,60,0.03,0.02,1.0,0.0,0,11,Point + linear,Hs,0.0202373196625817,0.01617981955854476,-0.0006332518159885272,0,
noise_nominal,noise,nominal,60,0.03,0.02,1.0,0.0,0,11,Positive GP,Hi,0.0896595578891074,0.07409487234397903,-0.020308508197542756,0,-225.3844758392532
noise_nominal,noise,nominal,60,0.03,0.02,1.0,0.0,0,11,Positive GP,Hs,0.012318812261896274,0.009774230035009655,0.0010140980347612622,0,-225.3844758392532
noise_nominal,noise,nominal,60,0.03,0.02,1.0,0.0,1,29,Point + linear,Hi,0.1572989262071952,0.1298676265233524,0.017869586781107845,0,
noise_nominal,noise,nominal,60,0.03,0.02,1.0,0.0,1,29,Point + linear,Hs,0.018015571277164563,0.014655750359747375,0.008507490155300071,0,
noise_nominal,noise,nominal,60,0.03,0.02,1.0,0.0,1,29,Positive GP,Hi,0.10713232477677477,0.08302572661254677,-0.00018349842879041201,0,-237.8582095553537
noise_nominal,noise,nominal,60,0.03,0.02,1.0,0.0,1,29,Positive GP,Hs,0.014026266966552813,0.011905495186667777,0.006259271332174737,0,-237.8582095553537
noise_nominal,noise,nominal,60,0.03,0.02,1.0,0.0,2,47,Point + linear,Hi,0.15867692666485747,0.1339431804814163,0.012405291532499507,0,
noise_nominal,noise,nominal,60,0.03,0.02,1.0,0.0,2,47,Point + linear,Hs,0.02237992632896319,0.01825490527778533,0.0006365645097390205,0,
noise_nominal,noise,nominal,60,0.03,0.02,1.0,0.0,2,47,Positive GP,Hi,0.10746107840211733,0.0823234820763828,-0.005952305973366343,0,-224.52284323022147
noise_nominal,noise,nominal,60,0.03,0.02,1.0,0.0,2,47,Positive GP,Hs,0.01749044347433056,0.013726726973624703,-0.0005484594638214377,0,-224.52284323022147
noise_nominal,noise,nominal,60,0.03,0.02,1.0,0.0,3,83,Point + linear,Hi,0.15086727455959828,0.12314892309314267,0.007692205063143339,0,
noise_nominal,noise,nominal,60,0.03,0.02,1.0,0.0,3,83,Point + linear,Hs,0.02250951254004931,0.017443455543860564,3.75837182690485e-05,0,
noise_nominal,noise,nominal,60,0.03,0.02,1.0,0.0,3,83,Positive GP,Hi,0.06987912645829435,0.05706296047960875,0.007459801693620656,0,-232.10050193316974
noise_nominal,noise,nominal,60,0.03,0.02,1.0,0.0,3,83,Positive GP,Hs,0.016494154862246892,0.013303001246209234,-0.0003353014399060889,0,-232.10050193316974
noise_high,noise,high,60,0.06,0.04,1.0,0.0,0,11,Point + linear,Hi,0.23499504213603303,0.1827702895057479,-0.0022487212915241936,0,
noise_high,noise,high,60,0.06,0.04,1.0,0.0,0,11,Point + linear,Hs,0.04135759005430631,0.03367663238306214,-0.0062590822015651205,0,
noise_high,noise,high,60,0.06,0.04,1.0,0.0,0,11,Positive GP,Hi,0.142910546713052,0.11768529826420707,0.0005875581777653092,0,-181.72736449569922
noise_high,noise,high,60,0.06,0.04,1.0,0.0,0,11,Positive GP,Hs,0.030922772340988176,0.02649989892909906,-0.007418319449506817,0,-181.72736449569922
noise_high,noise,high,60,0.06,0.04,1.0,0.0,1,29,Point + linear,Hi,0.2938998030347113,0.2417019402060223,-0.016710047960284493,0,
noise_high,noise,high,60,0.06,0.04,1.0,0.0,1,29,Point + linear,Hs,0.045220786135760714,0.035411164301518805,-0.0010501043315943423,0,
noise_high,noise,high,60,0.06,0.04,1.0,0.0,1,29,Positive GP,Hi,0.12070363505237142,0.09209904323391616,-0.03230285659667482,0,-157.69211182895054
noise_high,noise,high,60,0.06,0.04,1.0,0.0,1,29,Positive GP,Hs,0.024771212655377406,0.020257727557799275,-0.001003474565268505,0,-157.69211182895054
noise_high,noise,high,60,0.06,0.04,1.0,0.0,2,47,Point + linear,Hi,0.3039210850466202,0.25197531749982105,-0.03739438400924675,0,
noise_high,noise,high,60,0.06,0.04,1.0,0.0,2,47,Point + linear,Hs,0.053629725178276605,0.041929272609187586,-0.0005477254728957298,0,
noise_high,noise,high,60,0.06,0.04,1.0,0.0,2,47,Positive GP,Hi,0.14457340481177602,0.11635326192826083,-0.049130381503122295,0,-179.95123609466864
noise_high,noise,high,60,0.06,0.04,1.0,0.0,2,47,Positive GP,Hs,0.025360574743152644,0.020894775624685977,-0.0015516496136270775,0,-179.95123609466864
noise_high,noise,high,60,0.06,0.04,1.0,0.0,3,83,Point + linear,Hi,0.24613471775525286,0.19899881916557807,0.023002759609903316,0,
noise_high,noise,high,60,0.06,0.04,1.0,0.0,3,83,Point + linear,Hs,0.04816558746223586,0.03907540693284641,0.0006865682805480973,0,
noise_high,noise,high,60,0.06,0.04,1.0,0.0,3,83,Positive GP,Hi,0.14161529727477257,0.11773598677774004,0.02887519553916,0,-176.94697421663213
noise_high,noise,high,60,0.06,0.04,1.0,0.0,3,83,Positive GP,Hs,0.02824655946057442,0.022984487308901395,-0.00031307920015505265,0,-176.94697421663213
density_sparse,density,25 observations,25,0.03,0.02,1.0,0.0,0,11,Point + linear,Hi,0.1253841164177414,0.10076828171479217,0.014608955901225606,0,
density_sparse,density,25 observations,25,0.03,0.02,1.0,0.0,0,11,Point + linear,Hs,0.035454162166201626,0.024561386620352826,-0.009552638868681766,0,
density_sparse,density,25 observations,25,0.03,0.02,1.0,0.0,0,11,Positive GP,Hi,0.1263895242656084,0.10456311065359668,0.013163576783406775,0,-94.99888965918095
density_sparse,density,25 observations,25,0.03,0.02,1.0,0.0,0,11,Positive GP,Hs,0.03279534992175113,0.023179238475044616,-0.006113733655303328,0,-94.99888965918095
density_sparse,density,25 observations,25,0.03,0.02,1.0,0.0,1,29,Point + linear,Hi,0.13975962158478242,0.11781986413000949,0.03563853792087782,0,
density_sparse,density,25 observations,25,0.03,0.02,1.0,0.0,1,29,Point + linear,Hs,0.02645896800219234,0.021263348094221878,-0.00567008857513194,0,
density_sparse,density,25 observations,25,0.03,0.02,1.0,0.0,1,29,Positive GP,Hi,0.11309080488124819,0.09084225850035031,0.06009440888942213,0,-87.47948694635517
density_sparse,density,25 observations,25,0.03,0.02,1.0,0.0,1,29,Positive GP,Hs,0.022621011896593247,0.018943385333821474,-0.005539550132877156,0,-87.47948694635517
density_sparse,density,25 observations,25,0.03,0.02,1.0,0.0,2,47,Point + linear,Hi,0.11695531051709367,0.09139137820249849,0.002045550302193144,0,
density_sparse,density,25 observations,25,0.03,0.02,1.0,0.0,2,47,Point + linear,Hs,0.023423611023986945,0.017413861050558407,0.004118835127113424,0,
density_sparse,density,25 observations,25,0.03,0.02,1.0,0.0,2,47,Positive GP,Hi,0.10509014600548185,0.0810250671204412,0.015176443874453893,0,-90.84429396036434
density_sparse,density,25 observations,25,0.03,0.02,1.0,0.0,2,47,Positive GP,Hs,0.02363944637232537,0.01912686017158456,0.0019983780173826733,0,-90.84429396036434
density_sparse,density,25 observations,25,0.03,0.02,1.0,0.0,3,83,Point + linear,Hi,0.18536293560671788,0.14811322511269576,-0.09355044316575269,0,
density_sparse,density,25 observations,25,0.03,0.02,1.0,0.0,3,83,Point + linear,Hs,0.029812225085177647,0.024312083266049625,-0.00356216293299034,0,
density_sparse,density,25 observations,25,0.03,0.02,1.0,0.0,3,83,Positive GP,Hi,0.19618246302927259,0.15744353995900295,-0.12327085901739873,0,-85.65827937808535
density_sparse,density,25 observations,25,0.03,0.02,1.0,0.0,3,83,Positive GP,Hs,0.023112930451786435,0.0178782716942728,0.00021344491881008,0,-85.65827937808535
density_dense,density,120 observations,120,0.03,0.02,1.0,0.0,0,11,Point + linear,Hi,0.14288958271331578,0.11279481092550431,0.016062241178448233,0,
density_dense,density,120 observations,120,0.03,0.02,1.0,0.0,0,11,Point + linear,Hs,0.021108066843959702,0.01661346092335899,-0.002668090849957238,0,
density_dense,density,120 observations,120,0.03,0.02,1.0,0.0,0,11,Positive GP,Hi,0.05324825174916922,0.04223320496601337,-0.0019156280429804288,0,-499.7137106587114
density_dense,density,120 observations,120,0.03,0.02,1.0,0.0,0,11,Positive GP,Hs,0.011818218723209767,0.009344250946556895,-0.0012343476832360502,0,-499.7137106587114
density_dense,density,120 observations,120,0.03,0.02,1.0,0.0,1,29,Point + linear,Hi,0.1504595311579205,0.11619375569210716,0.02527211563305914,0,
density_dense,density,120 observations,120,0.03,0.02,1.0,0.0,1,29,Point + linear,Hs,0.02377536074349572,0.01906051975181167,0.0005608929997557127,0,
density_dense,density,120 observations,120,0.03,0.02,1.0,0.0,1,29,Positive GP,Hi,0.06077429350607671,0.046116556467609315,0.018496495346861107,0,-490.008429448471
density_dense,density,120 observations,120,0.03,0.02,1.0,0.0,1,29,Positive GP,Hs,0.011328788893277184,0.009354858832906258,-8.700358069820013e-06,0,-490.008429448471
